,Image,Accuracy,F1,Jaccard,Recall,Precision
0,6034456567632f4b48dc3dfbb98534b5953c151990f4235df6c912c0a9c08397.jpg,0.96002197265625,0.08199018920812895,0.04274753379612715,0.043640432674375236,0.6763005780346821
1,54cb3328e778d87f76062b0550e3bc190f46384acd8efbe58c297265d1906e84.jpg,0.9354400634765625,0.1292447005556699,0.06908690869086909,0.07376086445853888,0.521594684385382
2,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2.jpg,0.7697296142578125,0.01398235870630513,0.007040400052638505,0.007061774023231257,0.6993464052287581
3,f35ab34528e3e2d2589d24cbffc0e10024dfc474a68585d0b5feb7b05aa0067f.jpg,0.9758758544921875,0.0824143934997098,0.04297820823244552,0.044458359423919847,0.5634920634920635
4,fa73f24532b3667718ede7ac5c2e24ad7d3cae17b0a42ed17bbb81b15c28f4ae.jpg,0.9924774169921875,0.5113974231912785,0.34354194407456723,0.4777777777777778,0.5501066098081023
5,2cfa61bef6542dd359717e9131ce6f076c415a3bd7f48cb093b0d7f3b2ca785d.jpg,0.8054962158203125,0.01071012805587893,0.0053838951310861425,0.005409643277146217,0.5307692307692308
6,0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e.jpg,0.989471435546875,0.041666666666666664,0.02127659574468085,0.026785714285714284,0.09375
7,4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607.jpg,0.55694580078125,0.2986473429951691,0.1755352376625589,0.2637372013651877,0.34420935412026726
8,6d327ab4f0e3604fa6e9b8041c7e6db86ab809890d886c691f6e59c9168b7fbe.jpg,0.571807861328125,0.15653742110009017,0.08491488945411857,0.14850299401197606,0.16549094375595805
9,7c0157913223365720209ac83ff2e0b1b2b460173acd615c67646014093a2b97.jpg,0.6481475830078125,0.008684063453849792,0.004360967184801382,0.0043673787079477645,0.7481481481481481
10,8f6597cd978c060378177df76e554d0578b97eab471e237dbe0adc0dd0d93d63.jpg,0.986358642578125,0.24108658743633277,0.13706563706563707,0.1717049576783555,0.4045584045584046
11,1b6044e4858a9b7cee9b0028d8e54fbc8fb72e6c4424ab5b9f3859bfc72b33c5.jpg,0.92095947265625,0.21180766889835667,0.11844792375765827,0.1226431718061674,0.7759197324414716
12,aa83f5b4fca02ae43a6b9456ab42707b0beabc6e7c5c4e66c0d2572fb80f3615.jpg,0.9807586669921875,0.07888970051132213,0.04106463878326996,0.042993630573248405,0.4778761061946903
13,97126a9791f0c1176e4563ad679a301dac27c59011f579e808bbd6e9f4cd1034.jpg,0.71826171875,0.022033898305084745,0.011139674378748929,0.011158798283261802,0.8666666666666667
14,54fe2d3416951cbc48f8718624c86a7ae58b6022a7fa75591b13f625cf53658b.jpg,0.9488983154296875,0.08372093023255814,0.043689320388349516,0.04478922716627635,0.6401673640167364
15,9a71a416f98971aa14f63ef91242654cc9191a1414ce8bbd38066fe94559aa4f.jpg,0.9757080078125,0.0037546933667083854,0.0018808777429467085,0.0019430051813471502,0.05555555555555555
16,ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1.jpg,0.856475830078125,0.0031793132683340395,0.0015921876658528818,0.0015991471215351812,0.26785714285714285
17,e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c.jpg,0.39251708984375,0.19998392412185514,0.11110118781816558,0.2521025433174587,0.1657230400319723
18,a1777737270c5f96c4523dff76e4097756f8f7d4c9d59bac079e31f9510deabd.jpg,0.6646270751953125,0.005969879245624349,0.0029938761623951008,0.003000545553737043,0.5739130434782609
19,b1eb0123fe2d8c825694b193efb7b923d95effac9558ee4eaf3116374c2c94fe.jpg,0.85736083984375,0.018273471959672338,0.009220985691573928,0.00926320272572402,0.6692307692307692
20,f9ac03b0344ce8c48bc058448541f9211a1e5f4c94fdaf633dd534328d8610ab.jpg,0.9572601318359375,0.2225922842076048,0.12523422860712055,0.12935483870967743,0.7972166998011928
21,ed4b8e0d756836be7acb2e2b7799c473b52424e3092a71d3c6d23558e500dc4c.jpg,0.894683837890625,0.26839092643629425,0.1549951028403526,0.1688,0.6546018614270941
22,28d33efef218392e79e385906deb88055d94b65ad217de78c07e85476f80f45a.jpg,0.6871490478515625,0.02861609892452741,0.014515741408315309,0.014540902306321922,0.893491124260355
23,0532c64c2fd0c4d3188cc751cdfd566b1cfba3d269358717295bab1504c7c275.jpg,0.732666015625,0.012289998872477169,0.0061829939304554994,0.006194589679472607,0.7676056338028169
24,e5f8ad0f0a43af8ca57e31e16800108abdfb44a7e962a71d246f72d2dbde42bf.jpg,0.9812164306640625,0.026877470355731226,0.013621794871794872,0.014249790444258172,0.2361111111111111
25,2227fd9b01d67c2bcdb407d3205214e6dfeff9fd0725828e3b3651959942ff4a.jpg,0.9151153564453125,0.3849640685461581,0.23836254107338445,0.35228652367462565,0.42432366561052887
26,c00ae67f72816daee468474026e30705003b2d3501f123579a4f0a6366b66aa1.jpg,0.9162750244140625,0.052495251251942675,0.02695513388898741,0.027392322941070465,0.628099173553719
27,3852c7e45bd885b9537e276861ab50b99bb42f0f8e717d2f88174c62862ca3ff.jpg,0.94329833984375,0.3521617852161786,0.21371138383410918,0.2558905497846466,0.5645612073784237
